target_column,gene_symbol,y_mean,y_std,y_min,y_max,n_missing,n_dep_lt_m05,n_strong_lt_m1,n_neutral_gt_m02,frac_dep_lt_m05,frac_strong_lt_m1,selection_score
NFRKB (4798),NFRKB,-0.4860069512996416,0.3036374857730146,-1.450674881634635,-0.0248603096645928,0,25,4,12,0.423728813559322,0.06779661016949153,6.503637485773015
ISCA1 (81689),ISCA1,-0.3582204241547741,0.30030488359737545,-0.9770634242234354,0.3157441121747653,0,22,0,18,0.3728813559322034,0.0,6.500304883597376
ITGAV (3685),ITGAV,-0.37472691825580823,0.39558126021175044,-2.038858948324554,0.408803903418715,0,19,3,23,0.3220338983050847,0.05084745762711865,6.49558126021175
RAF1 (5894),RAF1,-0.2525552786505285,0.3826274463572987,-1.516169615964233,0.2538232887988413,0,13,3,35,0.22033898305084745,0.05084745762711865,6.482627446357299
BRK1 (55845),BRK1,-0.5173859910942364,0.34644961374244704,-1.3424603131218895,0.4594359894407008,0,26,7,9,0.4406779661016949,0.11864406779661017,6.446449613742447
PGM3 (5238),PGM3,-0.3097762974887589,0.33304998635814237,-1.1593572541370545,0.3535099790755007,0,17,3,27,0.288135593220339,0.05084745762711865,6.433049986358142
WDR48 (57599),WDR48,-0.45729896103525003,0.31963856576726146,-1.2894646037688098,0.1603944492306248,0,25,5,11,0.423728813559322,0.0847457627118644,6.419638565767261
VPS4B (9525),VPS4B,-0.3528604798977646,0.4548024870781875,-2.132916928204513,0.1829468431065774,0,15,6,29,0.2542372881355932,0.1016949152542373,6.354802487078188
BRD2 (6046),BRD2,-0.33870066156027084,0.44924841002003835,-1.8990471999811789,0.4859009553763203,0,17,4,25,0.288135593220339,0.06779661016949153,6.349248410020039
MED23 (9439),MED23,-0.3761221492595075,0.346233062130811,-1.3243536734370585,0.371234742532437,0,21,3,18,0.3559322033898305,0.05084745762711865,6.346233062130811
ACACA (31),ACACA,-0.533383026665832,0.33891108574501666,-1.26997657870634,0.0186282741767448,0,25,8,10,0.423728813559322,0.13559322033898305,6.338911085745017
TBL1XR1 (79718),TBL1XR1,-0.3936511895684101,0.33729131313398153,-1.2719241147896063,0.1403474143907492,0,20,3,20,0.3389830508474576,0.05084745762711865,6.337291313133981
IRF2BP2 (359948),IRF2BP2,-0.3592948441719656,0.41727360220601745,-1.750477054139006,0.4673685042063712,0,19,5,21,0.3220338983050847,0.0847457627118644,6.3172736022060185
HSCB (150274),HSCB,-0.48763597626110167,0.31523984955542195,-1.5485219061005695,0.1994860968072006,0,26,3,8,0.4406779661016949,0.05084745762711865,6.315239849555422
AIFM1 (9131),AIFM1,-0.4962942586549397,0.3032154291590137,-1.4452909599294017,0.0862412545115757,0,26,4,8,0.4406779661016949,0.06779661016949153,6.303215429159014
MTX2 (10651),MTX2,-0.26566636826912426,0.49741553757203244,-2.6634099950075107,0.3736134662647352,0,10,5,38,0.1694915254237288,0.0847457627118644,6.297415537572032
VPS4A (27183),VPS4A,-0.4625938878105759,0.39016231407916524,-1.782308618169857,0.0130621754185901,0,21,6,17,0.3559322033898305,0.1016949152542373,6.290162314079166
CDK6 (1021),CDK6,-0.4650700313814171,0.3703908642383308,-1.7351793402520292,0.1055646934062328,0,22,6,15,0.3728813559322034,0.1016949152542373,6.2703908642383315
SAMD4B (55095),SAMD4B,-0.45320072060904887,0.35012260648927274,-1.322922850047985,0.2735465819696422,0,24,4,11,0.4067796610169492,0.06779661016949153,6.250122606489274
RAD1 (5810),RAD1,-0.49701312768980677,0.336052835599994,-1.4173784362315551,0.1313346729916579,0,24,4,11,0.4067796610169492,0.06779661016949153,6.236052835599995
AHCYL1 (10768),AHCYL1,-0.3855771584520417,0.3337624818519815,-1.2978089441888525,0.3251721128341983,0,20,2,19,0.3389830508474576,0.03389830508474576,6.233762481851982
CD46 (4179),CD46,-0.17825926077479626,0.32634122233124374,-1.1743720318691846,0.1884450589188303,0,10,3,39,0.1694915254237288,0.05084745762711865,6.226341222331245
KMT2D (8085),KMT2D,-0.4332167868361905,0.32159754553819425,-1.257008985066386,0.2758864412820154,0,22,3,15,0.3728813559322034,0.05084745762711865,6.221597545538194
ILK (3611),ILK,-0.41966668753766384,0.3185951301124393,-1.7050057241878682,0.1660975252304764,0,22,1,15,0.3728813559322034,0.01694915254237288,6.21859513011244
MDM4 (4194),MDM4,-0.1433471402898335,0.31818174711949665,-1.4605789633024613,0.479433458812623,0,6,2,47,0.1016949152542373,0.03389830508474576,6.2181817471194964
TRIM37 (4591),TRIM37,-0.3662511891691515,0.3178668068343453,-1.6803521568116506,0.1514546783439788,0,20,1,19,0.3389830508474576,0.01694915254237288,6.217866806834346
PPM1D (8493),PPM1D,-0.15482044667192052,0.31785990034647005,-1.220176545515033,0.400083985133658,0,8,2,43,0.13559322033898305,0.03389830508474576,6.21785990034647
